instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
Blue Mountain Christian University,32157,32157,32157,31820,31820,31820,24420,24420,24420,
Bluefield State University,25940,25940,33130,25940,25940,33130,15740,15740,22930,
Bluefield University,42914,42914,42914,42088,42088,42088,33730,33730,33730,
Bluffton University,51118,51118,51118,50756,50756,50756,41616,41616,41616,
Bob Jones University,35840,35840,35840,39740,39740,39740,26490,26490,26490,
Boise Bible College,21500,21500,21500,32396,32396,32396,15248,15248,15248,
Boise State University,28716,28716,46053,26605,26605,43942,14728,14728,32065,
Boston Baptist College,26691,26691,26691,29348,29348,29348,17783,17783,17783,
Boston College,83746,83746,83746,79376,79376,79376,69526,69526,69526,
Boston University,82760,82760,82760,82760,82760,82760,67210,67210,67210,
Bowdoin College,80390,80390,80390,,,,,,,
Bowie State University,25316,25316,36038,28588,28588,39310,12848,12848,23570,
Bowling Green State University-Main Campus,30393,30393,38966,28248,28248,36821,20185,20185,28758,
Bradley University,53436,53436,53436,53436,53436,53436,44850,44850,44850,
Brandeis University,81914,81914,81914,76896,76896,76896,66922,66922,66922,
Brenau University,49415,49415,49415,50463,50463,50463,38315,38315,38315,
Brescia University,43590,43590,43590,44550,44550,44550,33050,33050,33050,
Brevard College,45650,45650,45650,41000,41000,41000,33250,33250,33250,
Brewton-Parker College,38046,38046,38046,42071,42071,42071,34320,34320,34320,
Briar Cliff University,50010,50010,50010,49484,49484,49484,43976,43976,43976,
Bridgewater College,57060,57060,57060,54090,54090,54090,44010,44010,44010,
Bridgewater State University,29313,29313,35453,29813,29813,35953,15651,15651,21791,
Brigham Young University,21120,21120,21120,21120,21120,21120,12560,12560,12560,
Brigham Young University-Hawaii,23107,23107,23107,19079,19079,19079,14279,14279,14279,
Brigham Young University-Idaho,13418,13418,13418,13418,13418,13418,8742,8742,8742,
Brown University,83686,83686,83686,,,,,,,
Bryan College-Dayton,30860,30860,30860,36209,36209,36209,22610,22610,22610,
Bryant University,68813,68813,68813,64229,64229,64229,54229,54229,54229,
Bryn Athyn College of the New Church,44020,44020,44020,37571,37571,37571,32571,32571,32571,
Bryn Mawr College,79380,79380,79380,,,,,,,
Bucknell University,80170,80170,80170,80170,80170,80170,64812,64812,64812,
Buena Vista University,52899,52899,52899,55194,55194,55194,44222,44222,44222,
Bushnell University,47000,47000,47000,47450,47450,47450,36970,36970,36970,
Butler Community College,13846,14460,16261,20564,21178,22979,6996,7610,9411,
Butler University,64180,64180,64180,64180,64180,64180,48920,48920,48920,
Cabrini University,50889,50889,50889,47665,47665,47665,40415,40415,40415,
Cairn University-Langhorne,46944,46944,46944,46930,46930,46930,35180,35180,35180,
Caldwell University,57449,57449,57449,59450,59450,59450,44850,44850,44850,
California Aeronautical University,44256,44256,44256,51545,51545,51545,37335,37335,37335,
California Baptist University,53472,53472,53472,61856,61856,61856,43584,43584,43584,
California College of the Arts,79961,79961,79961,80992,80992,80992,61435,61435,61435,
California Institute of Technology,83598,83598,83598,84936,84936,84936,66666,66666,66666,
California Institute of the Arts,78710,78710,78710,83864,83864,83864,65112,65112,65112,
California Lutheran University,67805,67805,67805,71908,71908,71908,53638,53638,53638,
California Polytechnic State University-San Luis Obispo,29918,29918,47828,29918,29918,47828,13469,13469,31379,
California State Polytechnic University-Humboldt,24856,24856,36736,26106,26106,37986,12316,12316,24196,
California State Polytechnic University-Pomona,28109,28109,39989,26585,26585,38465,12701,12701,24581,
California State University Maritime Academy,27079,27079,38959,31493,31493,43373,15955,15955,27835,
California State University-Bakersfield,26361,26361,38241,30823,30823,42703,13079,13079,24959,
California State University-Channel Islands,28089,28089,39969,32521,32521,44401,12565,12565,24445,
California State University-Chico,26728,26728,38608,24754,24754,36634,12702,12702,24582,
California State University-Dominguez Hills,27591,27591,39471,34433,34433,46313,12495,12495,24375,
California State University-East Bay,27959,27959,39839,31277,31277,43157,12459,12459,24339,
California State University-Fresno,22889,22889,34769,28799,28799,40679,11711,11711,23591,
California State University-Fullerton,27831,27831,39711,28743,28743,40623,11559,11559,23439,
California State University-Long Beach,26182,26182,38062,25688,25688,37568,11582,11582,23462,
California State University-Los Angeles,30689,30689,42569,33726,33726,45606,11806,11806,23686,
California State University-Monterey Bay,27788,27788,39668,31119,31119,42999,12849,12849,24729,
California State University-Northridge,23707,23707,35587,32641,32641,44521,12663,12663,24543,
California State University-Sacramento,28726,28726,40606,34312,34312,46192,12902,12902,24782,
California State University-San Bernardino,25701,25701,37581,29682,29682,41562,12342,12342,24222,
California State University-San Marcos,25507,25507,37387,31625,31625,43505,13481,13481,25361,
California State University-Stanislaus,23641,23641,35521,30097,30097,41977,13340,13340,25220,
Calumet College of Saint Joseph,34270,34270,34270,31670,31670,31670,26070,26070,26070,
Calvary University,20955,20955,20955,38815,38815,38815,18403,18403,18403,
Calvin University,54070,54070,54070,54070,54070,54070,42920,42920,42920,
Cameron University,19640,19640,29060,23755,23755,33175,11800,11800,21220,
Campbell University,60540,60540,60540,60540,60540,60540,46685,46685,46685,
Campbellsville University,41762,41762,41762,42838,42838,42838,34788,34788,34788,
Canisius University,46458,46458,46458,42300,42300,42300,34300,34300,34300,
Capital University,56982,56982,56982,59020,59020,59020,47536,47536,47536,
Capitol Technology University,44620,44620,44620,50722,50722,50722,32444,32444,32444,
Cardinal Stritch University,50236,50236,50236,48876,48876,48876,41676,41676,41676,
Carl Albert State College,14288,14288,18765,16488,16488,20965,9888,9888,14365,
