instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
John Carroll University,65240,65240,65240,61540,61540,61540,53040,53040,53040,
John Paul the Great Catholic University,47995,47995,47995,47995,47995,47995,43639,43639,43639,
Johns Hopkins University,80800,80800,80800,76968,76968,76968,63160,63160,63160,
Johnson & Wales University-Charlotte,56776,56776,56776,52150,52150,52150,41900,41900,41900,
Johnson & Wales University-Providence,60710,60710,60710,52200,52200,52200,41950,41950,41950,
Johnson C Smith University,34254,34254,34254,35661,35661,35661,27154,27154,27154,
Johnson University,30963,30963,30963,33322,33322,33322,22854,22854,22854,
Johnson University Florida,30230,30230,30230,34223,34223,34223,22591,22591,22591,
Jones County Junior College,14382,14382,16382,18374,18374,20374,12172,12172,14172,
Judson University,46000,46000,46000,44180,44180,44180,34680,34680,34680,
Juniata College,68636,68636,68636,68636,68636,68636,57586,57586,57586,
Kalamazoo College,71173,71173,71173,71173,71173,71173,59538,59538,59538,
Kansas Christian College,24620,24620,24620,25920,25920,25920,15720,15720,15720,
Kansas City Art Institute,58910,58910,58910,55424,55424,55424,46424,46424,46424,
Kansas City Kansas Community College,20408,20678,23978,24270,24540,27840,12122,12392,15692,
Kansas State University,25986,25986,42057,24566,24566,40637,15666,15666,31737,
Kansas Wesleyan University,46470,46470,46470,44510,44510,44510,36710,36710,36710,
Kean University,31511,31511,38903,28552,28552,35944,18752,18752,26144,
Keene State College,30672,30672,41581,27360,27360,38269,17138,17138,28047,
Kehilath Yakov Rabbinical Seminary,16625,16625,16625,16425,16425,16425,14425,14425,14425,
Keiser University-Ft Lauderdale,50699,50699,50699,49744,49744,49744,35048,35048,35048,
Kennesaw State University,27253,27253,38507,27253,27253,38507,14306,14306,25560,
Kent State University at Kent,30854,30854,39960,28978,28978,38084,18948,18948,28054,
Kentucky Christian University,39196,39196,39196,48020,48020,48020,33870,33870,33870,
Kentucky Mountain Bible College,16490,16490,16490,17810,17810,17810,11310,11310,11310,
Kentucky State University,21575,21575,25453,22650,22650,26528,15435,15435,19313,
Kentucky Wesleyan College,46898,46898,46898,44425,44425,44425,35473,35473,35473,
Kenyon College,83800,83800,83800,,,,,,,
Keser Torah-Mayan Hatalmud,16600,16600,16600,31650,31650,31650,16860,16860,16860,
Kettering College,30434,30434,30434,38605,38605,38605,22519,22519,22519,
Kettering University,58610,58610,58610,58610,58610,58610,49680,49680,49680,
Keuka College,54052,54052,54052,51741,51741,51741,44721,44721,44721,
Keystone College,32550,32550,32550,26350,26350,26350,24150,24150,24150,
Kilgore College,17478,19374,20574,17828,19724,20924,10906,12802,14002,
King University,48810,48810,48810,49078,49078,49078,42388,42388,42388,
King's College,60360,60360,60360,56286,56286,56286,49586,49586,49586,
Knox College,66007,66007,66007,65785,65785,65785,55681,55681,55681,
Kutztown University of Pennsylvania,28876,28876,33274,28876,28876,33274,20320,20320,24718,
Kuyper College,37436,37436,37436,36850,36850,36850,29160,29160,29160,
La Roche University,48832,48832,48832,44961,44961,44961,36756,36756,36756,
La Salle University,50440,50440,50440,43390,43390,43390,37890,37890,37890,
La Sierra University,52463,52463,52463,60083,60083,60083,43052,43052,43052,
Lackawanna College,33150,33150,33150,28548,28548,28548,21630,21630,21630,
Lafayette College,78854,78854,78854,,,,,,,
LaGrange College,50135,50135,50135,49050,49050,49050,37605,37605,37605,
Laguna College of Art and Design,57697,57697,57697,60093,60093,60093,41719,41719,41719,
Lake Erie College,50046,50046,50046,55692,55692,55692,40512,40512,40512,
Lake Forest College,68800,68800,68800,68800,68800,68800,65940,65940,65940,
Lake Michigan College,22856,24956,24956,17850,19950,19950,10138,12238,12238,
Lake Region State College,17536,17536,17536,17536,17536,17536,10336,10336,10336,
Lake Superior State University,27694,27694,27694,24878,24878,24878,16678,16678,16678,
Lake Tahoe Community College,20127,20127,28083,26145,26145,34101,8376,8376,16332,
Lakeland University,47622,47622,47622,47358,47358,47358,36844,36844,36844,
Lakes Region Community College,22428,22428,30678,29604,29604,37854,13196,13196,21446,
Lamar Community College,19522,19522,22026,24423,24423,26927,11859,11859,14363,
Lamar University,24662,24662,34454,23858,23858,33650,14778,14778,24570,
Lancaster Bible College,43000,43000,43000,38810,38810,38810,31810,31810,31810,
Lander University,26570,26570,36170,26570,26570,36170,15870,15870,25470,
Landmark College,82180,82180,82180,82180,82180,82180,68220,68220,68220,
Lane College,23680,23680,23680,22870,22870,22870,14990,14990,14990,
Lane Community College,20510,20510,26810,21374,21374,27674,9935,9935,16235,
Langston University,21012,21012,28539,21107,21107,28634,10219,10219,17746,
Laramie County Community College,16557,16557,22857,15553,15553,21853,7953,7953,14253,
Lasell University,62630,62630,62630,54130,54130,54130,47130,47130,47130,
Lassen Community College,15931,15931,23899,24927,24927,32895,6655,6655,14623,
Latin American Bible Institute,19520,19520,19520,35620,35620,35620,11620,11620,11620,
Lawrence Technological University,57409,57409,57409,57409,57409,57409,46089,46089,46089,
Lawrence University,67824,67824,67824,67482,67482,67482,57321,57321,57321,
Lawson State Community College,14980,14980,18730,20587,20587,24337,13027,13027,16777,
Le Moyne College,55190,55190,55190,55190,55190,55190,40030,40030,40030,
Le Moyne-Owen College,20176,20176,20176,22226,22226,22226,15726,15726,15726,
Lebanon Valley College,65708,65708,65708,65708,65708,65708,53088,53088,53088,
Lee University,35800,35800,35800,35800,35800,35800,26960,26960,26960,
Lees-McRae College,46140,46140,46140,48140,48140,48140,33940,33940,33940,
Lehigh University,77885,77885,77885,77885,77885,77885,61995,61995,61995,
Lenoir-Rhyne University,60510,60510,60510,60510,60510,60510,47610,47610,47610,
Lesley University,53352,53352,53352,46814,46814,46814,37004,37004,37004,
LeTourneau University,49338,49338,49338,50718,50718,50718,38968,38968,38968,
Lewis & Clark College,77170,77170,77170,77170,77170,77170,62786,62786,62786,
Lewis University,52120,52120,52120,48139,48139,48139,40639,40639,40639,
Lewis-Clark State College,20359,20359,33612,20359,20359,33612,11899,11899,25152,
Liberty University,42498,42498,42498,40872,40872,40872,30154,30154,30154,
Life Pacific University,33543,33543,33543,43036,43036,43036,24766,24766,24766,
Life University,44406,44406,44406,44406,44406,44406,21906,21906,21906,
LIM College,52835,52835,52835,49910,49910,49910,37260,37260,37260,
Limestone University,41055,41055,41055,42900,42900,42900,34759,34759,34759,
Lincoln Memorial University,41720,41720,41720,36150,36150,36150,31150,31150,31150,
Lincoln University,27358,27358,33904,28452,28452,34998,17922,17922,24468,
Lincoln University,23104,23104,30334,21184,21184,28414,13638,13638,20868,
Lindenwood University,33900,33900,33900,40360,40360,40360,25000,25000,25000,
Lindsey Wilson College,42157,42157,42157,43471,43471,43471,32471,32471,32471,
Linfield University,64815,64815,64815,64815,64815,64815,54215,54215,54215,
Lipscomb University,56688,56688,56688,54652,54652,54652,42652,42652,42652,
Little Priest Tribal College,16864,16864,16864,16864,16864,16864,9874,9874,9874,
Living Arts College,31783,31783,31783,34780,34780,34780,21613,21613,21613,
Livingstone College,28390,28390,28390,26287,26287,26287,21596,21596,21596,
Long Island University,60244,60244,60244,68368,68368,68368,46368,46368,46368,
Longwood University,32996,32996,45936,33526,33526,46466,19208,19208,32148,
Loras College,48587,48587,48587,47820,47820,47820,39539,39539,39539,
Los Angeles College of Music,48474,48474,48474,48564,48564,48564,30825,30825,30825,
Louisburg College,37000,37000,37000,31980,31980,31980,23643,23643,23643,
Louisiana Christian University,34136,34136,34136,36958,36958,36958,26490,26490,26490,
Louisiana State University and Agricultural & Mechanical College,34878,34878,51555,36336,36336,53013,20922,20922,37599,
Louisiana State University-Alexandria,21180,21180,28780,21659,21659,29259,12199,12199,19799,
Louisiana State University-Eunice,19820,19820,25184,21968,21968,27332,11500,11500,16864,
Louisiana State University-Shreveport,23374,23374,36528,24565,24565,37719,14097,14097,27251,
Louisiana Tech University,24972,24972,31713,25884,25884,32625,19647,19647,26388,
Lourdes University,45318,45318,45318,45318,45318,45318,33318,33318,33318,
Loyola Marymount University,76227,76227,76227,79722,79722,79722,61452,61452,61452,
Loyola University Chicago,67818,67818,67818,65138,65138,65138,52298,52298,52298,
Loyola University Maryland,72600,72600,72600,66475,66475,66475,56535,56535,56535,
Loyola University New Orleans,64245,64245,64245,60106,60106,60106,49043,49043,49043,
Lubbock Christian University,41706,41706,41706,41706,41706,41706,32716,32716,32716,
Lurleen B Wallace Community College,15287,15287,19037,19187,19187,22937,9737,9737,13487,
Luther College,62885,62885,62885,62885,62885,62885,52215,52215,52215,
Lycoming College,62956,62956,62956,62644,62644,62644,48770,48770,48770,
Lynn University,61398,61398,61398,66741,66741,66741,51024,51024,51024,
Lyon College,45750,45750,45750,46100,46100,46100,35350,35350,35350,
Macalester College,78900,78900,78900,,,,,,,
Machzikei Hadath Rabbinical College,16300,16300,16300,32890,32890,32890,18100,18100,18100,
Madonna University,41790,41790,41790,42710,42710,42710,30460,30460,30460,
Magdalen College,36856,36856,36856,34700,34700,34700,25300,25300,25300,
Maharishi International University,28730,28730,28730,28730,28730,28730,21330,21330,21330,
Maine College of Art & Design,57620,57620,57620,51280,51280,51280,43180,43180,43180,
Maine Maritime Academy,30302,30302,45782,30302,30302,45782,18862,18862,34342,
Malone University,49975,49975,49975,50675,50675,50675,39475,39475,39475,
Manchester University,48900,48900,48900,46944,46944,46944,41621,41621,41621,
Manhattan Christian College,35054,35054,35054,37130,37130,37130,23476,23476,23476,
Manhattan College,70398,70398,70398,70698,70698,70698,52258,52258,52258,
Manhattan School of Music,74750,74750,74750,74750,74750,74750,58150,58150,58150,
Manhattanville College,58678,58678,58678,58912,58912,58912,44410,44410,44410,
Manor College,32014,32014,32014,31994,31994,31994,24404,24404,24404,
Maranatha Baptist University,34162,34162,34162,33922,33922,33922,25782,25782,25782,
Marian University,42190,42190,42190,40000,40000,40000,33900,33900,33900,
Marian University,54571,54571,54571,52012,52012,52012,41909,41909,41909,
Marian University-Ancilla,38568,38568,38568,38362,38362,38362,26079,26079,26079,
Marietta College,53044,53044,53044,45980,45980,45980,41707,41707,41707,
Marion Military Institute,18458,18458,24458,,,,,,,
Marist College,64835,64835,64835,66985,66985,66985,48185,48185,48185,
Marquette University,64562,64562,64562,67276,67276,67276,52250,52250,52250,
Mars Hill University,49561,49561,49561,47285,47285,47285,38557,38557,38557,
Marshall University,23944,23944,34998,23240,23240,34294,16404,16404,27458,
Marshalltown Community College,18088,18088,18592,22066,22066,22570,10148,10148,10652,
Martin Luther College,29400,29400,29400,29400,29400,29400,22520,22520,22520,
Mary Baldwin University,45386,45386,45386,47046,47046,47046,37496,37496,37496,
Maryland Institute College of Art,72255,72255,72255,68065,68065,68065,56705,56705,56705,
Marymount California University,57491,57491,57491,57559,57559,57559,41492,41492,41492,
Marymount Manhattan College,65932,65932,65932,59418,59418,59418,51918,51918,51918,
Marymount University,59407,59407,59407,60416,60416,60416,42780,42780,42780,
Maryville College,54558,54558,54558,54558,54558,54558,41942,41942,41942,
Maryville University of Saint Louis,47702,47702,47702,47794,47794,47794,36906,36906,36906,
Marywood University,56670,56670,56670,55912,55912,55912,45112,45112,45112,
Massachusetts College of Art and Design,34670,34670,61060,34670,34670,61060,20770,20770,47160,
Massachusetts College of Liberal Arts,30025,30025,38970,26420,26420,35365,16393,16393,25338,
Massachusetts Institute of Technology,79850,79850,79850,79850,79850,79850,61060,61060,61060,
Massachusetts Maritime Academy,30872,30872,44760,,,,,,,
Mayville State University,21495,21495,24753,21495,21495,24753,11973,11973,15231,
McDaniel College,62684,62684,62684,60106,60106,60106,52314,52314,52314,
McKendree University,48730,48730,48730,46140,46140,46140,38320,38320,38320,
McMurry University,44222,44222,44222,41803,41803,41803,34972,34972,34972,
McNeese State University,25088,25088,26588,25678,25678,27178,15210,15210,16710,
McPherson College,48548,48548,48548,54096,54096,54096,43952,43952,43952,
MCPHS University,62134,62134,62134,62134,62134,62134,45342,45342,45342,
Medaille University,50388,50388,50388,46701,46701,46701,36388,36388,36388,
Menlo College,70641,70641,70641,69044,69044,69044,55096,55096,55096,
Mercer University,57752,57752,57752,57752,57752,57752,43706,43706,43706,
Mercy University,40712,40712,40712,36170,36170,36170,26856,26856,26856,
Mercyhurst University,60746,60746,60746,57991,57991,57991,46921,46921,46921,
Meredith College,57774,57774,57774,57774,57774,57774,45230,45230,45230,
Meridian Community College,14341,14341,16341,16995,16995,18995,10236,10236,12236,
Merrimack College,69941,69941,69941,69941,69941,69941,51646,51646,51646,
Mesalands Community College,18910,18910,20182,18910,18910,20182,9686,9686,10958,
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,18500,18500,18500,,,,,,,
Mesivta Torah Vodaath Rabbinical Seminary,22900,22900,22900,35670,35670,35670,20300,20300,20300,
Mesivtha Tifereth Jerusalem of America,17500,17500,17500,17500,17500,17500,13400,13400,13400,
Messenger College,26199,26199,26199,30031,30031,30031,16495,16495,16495,
Messiah University,54950,54950,54950,56160,56160,56160,44210,44210,44210,
Methodist College,47550,47550,47550,46874,46874,46874,26280,26280,26280,
Methodist University,55016,55016,55016,51188,51188,51188,43538,43538,43538,
Miami University-Oxford,37218,37218,58247,37218,37218,58247,22684,22684,43713,
Michigan Career and Technical Institute,16152,16152,19788,16710,16710,20346,9500,9500,13136,
Michigan State University,30990,30990,57576,30990,30990,57576,20000,20000,46586,
Michigan Technological University,33278,33278,55238,33278,33278,55238,21220,21220,43180,
Mid-America Christian University,32090,32090,32090,31640,31640,31640,23458,23458,23458,
Mid-Atlantic Christian University,33440,33440,33440,33196,33196,33196,23890,23890,23890,
Mid-Plains Community College,14420,14420,15320,14420,14420,15320,7410,7410,8310,
Mid-South Christian College,22061,22061,22061,31018,31018,31018,17461,17461,17461,
MidAmerica Nazarene University,55009,55009,55009,57818,57818,57818,46186,46186,46186,
Middle Georgia State University,22143,22143,30615,24725,24725,33197,13373,13373,21845,
Middle Tennessee State University,24554,24554,43586,24554,24554,43586,14978,14978,34010,
Middlebury College,82260,82260,82260,,,,,,,
Midland College,12892,14572,15802,18831,20511,21741,7092,8772,10002,
Midland University,52990,52990,52990,52990,52990,52990,43985,43985,43985,
Midway University,42050,42050,42050,42050,42050,42050,33450,33450,33450,
Midwestern Baptist Theological Seminary,31305,31305,31305,33235,33235,33235,17478,17478,17478,
Midwestern State University,24755,24755,26705,24755,24755,26705,13889,13889,15839,
Miles College,23144,23144,23144,26801,26801,26801,15956,15956,15956,
Miles Community College,15572,17042,20578,15572,17042,20578,7272,8742,12278,
Millersville University of Pennsylvania,29362,29362,39332,29532,29532,39502,16162,16162,26132,
Milligan University,50726,50726,50726,50632,50632,50632,42606,42606,42606,
Millikin University,42828,57568,57568,42828,57568,57568,29992,44732,44732,
Millsaps College,61025,61025,61025,61512,61512,61512,46962,46962,46962,
Milwaukee Area Technical College,21101,21101,23252,20999,20999,23150,13109,13109,15260,
Milwaukee Institute of Art & Design,53890,53890,53890,53890,53890,53890,43940,43940,43940,
Milwaukee School of Engineering,61938,61938,61938,64759,64759,64759,50194,50194,50194,
Mineral Area College,18966,20316,21876,21660,23010,24570,13366,14716,16276,
Minerva University,34950,34950,34950,,,,,,,
Minneapolis College of Art and Design,54910,54910,54910,54910,54910,54910,47620,47620,47620,
Minnesota North College,19304,19304,20602,19304,19304,20602,11238,11238,12536,
Minnesota State Community and Technical College,17384,17384,17384,17384,17384,17384,10660,10660,10660,
Minnesota State University Moorhead,25064,25064,33900,25064,25064,33900,14960,14960,23796,
Minnesota State University-Mankato,23234,23234,32604,20874,20874,30244,12846,12846,22216,
Minnesota West Community and Technical College,19084,19084,24932,19084,19084,24932,14184,14184,20032,
Minot State University,20550,20550,20550,20538,20538,20538,12076,12076,12076,
Mirrer Yeshiva Cent Institute,23405,23405,23405,31531,31531,31531,19345,19345,19345,
Misericordia University,52966,52966,52966,48334,48334,48334,39190,39190,39190,
Mission University,29170,29170,29170,27790,27790,27790,25190,25190,25190,
Mississippi College,39427,39427,39427,42804,42804,42804,27986,27986,27986,
Mississippi Delta Community College,11180,11180,13780,9680,9680,12280,6580,6580,9180,
Mississippi Gulf Coast Community College,13565,13565,16865,16325,16325,19625,10025,10025,13325,
Mississippi State University,27107,27107,43153,27107,27107,43153,16375,16375,32421,
Mississippi University for Women,22093,22093,22093,21981,21981,21981,13881,13881,13881,
Mississippi Valley State University,21606,21606,21606,22710,22710,22710,15229,15229,15229,
Missouri Baptist University,49801,49801,49801,47390,47390,47390,39141,39141,39141,
Missouri Southern State University,20011,20011,28037,20333,20333,28359,13225,13225,21251,
Missouri State University-Springfield,24022,24022,32562,24824,24824,33364,16056,16056,24596,
Missouri State University-West Plains,16315,16315,20545,22187,22187,26417,12071,12071,16301,
Missouri University of Science and Technology,25917,25917,44361,,,,14669,14669,33113,
Missouri Valley College,37150,37150,37150,38180,38180,38180,29760,29760,29760,
Missouri Western State University,23160,23160,30170,23160,23160,30170,12960,12960,19970,
Mitchell College,55950,55950,55950,55950,55950,55950,40500,40500,40500,
Moberly Area Community College,13292,15722,17492,15924,18354,20124,11196,13626,15396,
Mohawk Valley Community College,22024,22024,24459,20872,20872,23307,10757,10757,13192,
Molloy College,56830,56830,56830,54021,54021,54021,44585,44585,44585,
Monmouth College,56004,56004,56004,52814,52814,52814,46064,46064,46064,
Monmouth University,64273,64273,64273,58675,58675,58675,48720,48720,48720,
Monroe College,33942,33942,33942,27542,27542,27542,22942,22942,22942,
Monroe Community College,18562,18562,23318,18562,18562,23318,9612,9612,14368,
Montana Bible College,17090,17090,17090,20010,20010,20010,11890,11890,11890,
Montana State University,24527,24527,46404,24527,24527,46404,13227,13227,35104,
Montana State University Billings,21386,21386,35112,21386,21386,35112,13038,13038,26764,
Montana State University-Northern,17025,17025,29735,18255,18255,30965,10555,10555,23265,
Montana Technological University,23671,23671,39301,23671,23671,39301,11878,11878,27508,
Montclair State University,33342,33342,42052,36216,36216,44926,17172,17172,25882,
Montreat College,45895,45895,45895,47225,47225,47225,35225,35225,35225,
Montserrat College of Art,58450,58450,58450,57450,57450,57450,43650,43650,43650,
Moody Bible Institute,34222,34222,34222,35510,35510,35510,20602,20602,20602,
Moore College of Art and Design,70524,70524,70524,71028,71028,71028,55290,55290,55290,
Moravian University,68834,68834,68834,64698,64698,64698,54100,54100,54100,
Morehead State University,22603,22603,27329,24290,24290,29016,13892,13892,18618,
Morehouse College,50036,50036,50036,48939,48939,48939,35430,35430,35430,
Morgan State University,25735,25735,36206,26475,26475,36946,13573,13573,24044,
Morningside University,51480,51480,51480,52750,52750,52750,40760,40760,40760,
Morris College,29702,29702,29702,29812,29812,29812,23068,23068,23068,
Morrison Institute of Technology,31938,31938,31938,35820,35820,35820,24914,24914,24914,
Mount Aloysius College,42818,42818,42818,41010,41010,41010,31010,31010,31010,
Mount Angel Seminary,46692,46692,46692,46692,46692,46692,30932,30932,30932,
Mount Holyoke College,77678,77678,77678,75418,75418,75418,62898,62898,62898,
Mount Marty University,46032,46032,46032,46752,46752,46752,36462,36462,36462,
Mount Mary University,50876,50876,50876,48446,48446,48446,41046,41046,41046,
Mount Mercy University,53666,53666,53666,55058,55058,55058,45300,45300,45300,
Mount Saint Mary College,58756,58756,58756,54302,54302,54302,41390,41390,41390,
Mount Saint Mary's University,69345,69345,69345,71802,71802,71802,56128,56128,56128,
Mount St. Joseph University,47750,47750,47750,46900,46900,46900,37600,37600,37600,
Mount St. Mary's University,62940,62940,62940,56020,56020,56020,48920,48920,48920,
Mount Vernon Nazarene University,49380,49380,49380,45168,45168,45168,40518,40518,40518,
Muhlenberg College,74895,74895,74895,74895,74895,74895,61675,61675,61675,
Multnomah University,42730,42730,42730,41390,41390,41390,32810,32810,32810,
Murray State College,19710,19710,23910,24084,24084,28284,16866,16866,21066,
Murray State University,25087,25087,34543,25751,25751,35207,14927,14927,24383,
Muskingum University,46008,46008,46008,45836,45836,45836,39440,39440,39440,
Naropa University,51224,51224,51224,55414,55414,55414,40528,40528,40528,
National Park College,17174,17624,18854,23973,24423,25653,9100,9550,10780,
Navajo Technical University,18050,18050,18050,16898,16898,16898,8688,8688,8688,
Navarro College,19604,21314,23174,19604,21314,23174,12240,13950,15810,
Nazareth University,57500,57500,57500,57500,57500,57500,45510,45510,45510,
Nebraska College of Technical Agriculture,19120,19120,19120,18016,18016,18016,10574,10574,10574,
Nebraska Methodist College of Nursing & Allied Health,33309,33309,33309,37325,37325,37325,24545,24545,24545,
Nebraska Wesleyan University,55742,55742,55742,56298,56298,56298,44368,44368,44368,
Neosho County Community College,17516,17516,17516,19696,19696,19696,10976,10976,10976,
Ner Israel Rabbinical College,25650,25650,25650,34550,34550,34550,18450,18450,18450,
Neumann University,56670,56670,56670,57800,57800,57800,42170,42170,42170,
Neumont College of Computer Science,40225,40225,40225,39305,39305,39305,31177,31177,31177,
New College of Florida,21677,21677,44705,30427,30427,53455,11386,11386,34414,
New England College,61320,61320,61320,59933,59933,59933,45268,45268,45268,
New England Institute of Technology,55770,55770,55770,48024,48024,48024,40746,40746,40746,
New Hope Christian College-Eugene,27000,27000,27000,29000,29000,29000,20700,20700,20700,
New Jersey City University,35272,35272,45871,40016,40016,50615,18876,18876,29475,
New Jersey Institute of Technology,40162,40162,56622,39962,39962,56422,27762,27762,44222,
New Mexico Highlands University,21554,21554,26402,22604,22604,27452,12252,12252,17100,
New Mexico Institute of Mining and Technology,23068,23068,40322,23068,23068,40322,14736,14736,31990,
New Mexico Junior College,9546,10026,10386,14265,14745,15105,5146,5626,5986,
New Mexico Military Institute,18891,18891,25943,,,,,,,
New Mexico State University-Main Campus,24399,24399,41523,23012,23012,40136,13147,13147,30271,
New Orleans Baptist Theological Seminary,20260,20260,20260,33070,33070,33070,14520,14520,14520,
New York Institute of Technology,63384,63384,63384,65310,65310,65310,48160,48160,48160,
New York Seminary,20100,20100,20100,32490,32490,32490,17700,17700,17700,
New York University,82095,82095,82095,82095,82095,82095,61823,61823,61823,
Newberry College,44822,44822,44822,44220,44220,44220,32982,32982,32982,
Newman University,48386,48386,48386,51602,51602,51602,40816,40816,40816,
NHTI-Concord's Community College,23468,23468,31718,32902,32902,41152,16494,16494,24744,
Niagara County Community College,11805,11805,16845,20495,20495,25535,9165,9165,14205,
Niagara University,52490,52490,52490,52890,52890,52890,42040,42040,42040,
Nicholls State University,24450,24450,25543,24650,24650,25743,14718,14718,15811,
Nichols College,56510,56510,56510,51060,51060,51060,42900,42900,42900,
Norfolk State University,26710,26710,37878,26710,26710,37878,15866,15866,27034,
North American University,25280,25280,25280,28922,28922,28922,18422,18422,18422,
North Arkansas College,17091,17739,19467,20581,21229,22957,11091,11739,13467,
North Carolina A & T State University,19372,19372,32882,20901,20901,34411,10193,10193,23703,
North Carolina Central University,26002,26002,39038,26402,26402,39438,14538,14538,27574,
North Carolina State University at Raleigh,25752,25752,47493,25752,25752,47493,18320,18320,40061,
North Carolina Wesleyan University,49116,49116,49116,46652,46652,46652,37152,37152,37152,
North Central College,57966,57966,57966,61938,61938,61938,48926,48926,48926,
North Central Kansas Technical College,22912,22912,22912,22912,22912,22912,16426,16426,16426,
North Central Michigan College,17353,20083,22123,19300,22030,24070,9420,12150,14190,
North Central Missouri College,17244,19224,20334,21014,22994,24104,12770,14750,15860,
North Central Texas College,12565,14725,17245,13884,16044,18564,7890,10050,12570,
North Central University,42215,42215,42215,42205,42205,42205,37325,37325,37325,
North Country Community College,20358,20358,27530,20358,20358,27530,11562,11562,18734,
North Dakota State College of Science,17150,17150,18149,17150,17150,18149,10280,10280,11279,
North Dakota State University-Main Campus,24568,24568,29222,24568,24568,29222,16692,16692,21346,
North Georgia Technical College,11842,11842,14242,16076,16076,18476,10159,10159,12559,
North Greenville University,41800,41800,41800,42890,42890,42890,30770,30770,30770,
North Idaho College,16246,17810,21586,25131,26695,30471,8346,9910,13686,
North Iowa Area Community College,17935,17935,20623,17417,17417,20105,11660,11660,14348,
North Park University,47845,47845,47845,48345,48345,48345,38220,38220,38220,
Northampton County Area Community College,22771,28351,32521,20879,26459,30629,13629,19209,23379,
Northeast Community College,16023,16023,17313,15559,15559,16849,7582,7582,8872,
Northeast Mississippi Community College,13802,13802,17082,22580,22580,25860,11067,11067,14347,
Northeast Texas Community College,18129,19989,21429,17278,19138,20578,10789,12649,14089,
Northeastern Illinois University,32461,32461,42552,26759,26759,36850,21719,21719,31810,
Northeastern Junior College,20647,20647,22993,25552,25552,27898,12988,12988,15334,
Northeastern Oklahoma A&M College,18443,18443,24593,21833,21833,27983,11343,11343,17493,
Northeastern State University,19642,19642,28627,23994,23994,32979,12536,12536,21521,
Northeastern University,81422,81422,81422,81422,81422,81422,62992,62992,62992,
Northern Arizona University,29202,29202,44464,34722,34722,49984,17474,17474,32736,
Northern Illinois University,27822,27822,27822,27822,27822,27822,17402,17402,17402,
Northern Kentucky University,25140,25140,35396,29860,29860,40116,13892,13892,24148,
Northern Maine Community College,18560,18560,21440,17070,17070,19950,10742,10742,13622,
Northern Michigan University,27432,27432,32928,26332,26332,31828,17378,17378,22874,
Northern Oklahoma College,16681,16681,23446,15857,15857,22622,11657,11657,18422,
Northern State University,23795,23795,26897,23795,23795,26897,14645,14645,17747,
Northern Vermont University,27958,27958,42046,27958,27958,42046,15554,15554,29642,
Northern Wyoming Community College District,16154,16154,22454,20803,20803,27103,9265,9265,15565,
Northland College,54375,54375,54375,54375,54375,54375,44687,44687,44687,
Northpoint Bible College,32262,32262,32262,38060,38060,38060,20460,20460,20460,
Northwest College,16651,16651,22951,21628,21628,27928,9616,9616,15916,
Northwest Indian College,13951,13951,13951,19461,19461,19461,8553,8553,8553,
Northwest Iowa Community College,19760,19760,20060,21380,21380,21680,13162,13162,13462,
Northwest Mississippi Community College,12475,12475,14875,22794,22794,25194,8810,8810,11210,
Northwest Missouri State University,22906,22906,28973,22906,22906,28973,12477,12477,18544,
Northwest Nazarene University,51472,51472,51472,52510,52510,52510,42394,42394,42394,
Northwest University,48848,48848,48848,48848,48848,48848,38842,38842,38842,
Northwestern College,48800,48800,48800,48800,48800,48800,38600,38600,38600,
Northwestern Michigan College,15175,19527,22043,19600,23952,26468,9000,13352,15868,
Northwestern Oklahoma State University,18790,18790,24484,18790,18790,24484,13570,13570,19264,
Northwestern State University of Louisiana,25711,25711,36499,25910,25910,36698,15442,15442,26230,
Northwestern University,89394,89394,89394,89394,89394,89394,69594,69594,69594,
Northwood University,47822,47822,47822,47764,47764,47764,37070,37070,37070,
Norwich University,65400,65400,65400,65340,65340,65340,49540,49540,49540,
Notre Dame College,48118,48118,48118,47550,47550,47550,37350,37350,37350,
Notre Dame of Maryland University,60880,60880,60880,64212,64212,64212,47930,47930,47930,
Nova Southeastern University,56870,56870,56870,62280,62280,62280,45522,45522,45522,
Oak Hills Christian College,33525,33525,33525,31448,31448,31448,23752,23752,23752,
Oakland City University,42482,42482,42482,38926,38926,38926,31330,31330,31330,
Oakland University,29112,29112,38366,28380,28380,37634,20520,20520,29774,
Oakwood University,38624,38624,38624,42450,42450,42450,29240,29240,29240,
Oberlin College,84230,84230,84230,78110,78110,78110,65032,65032,65032,
Occidental College,80636,80636,80636,,,,,,,
Odessa College,12678,13950,14844,19513,20785,21679,5968,7240,8134,
Oglala Lakota College,15534,15534,15534,15534,15534,15534,8334,8334,8334,
Oglethorpe University,62340,62340,62340,63590,63590,63590,49190,49190,49190,
